config_name,llm_model,embedding_model,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,total_time_seconds,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median,answer_relevancy_std,answer_relevancy_min,answer_relevancy_max,answer_relevancy_median,context_precision_std,context_precision_min,context_precision_max,context_precision_median,context_recall_std,context_recall_min,context_recall_max,context_recall_median
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,1000,100,312,50,12.655726158099824,62.05420283524239,0.0,631.0,0.581616456106252,0.6187896865638912,0.42244444440785744,0.4,3156.612604299,11.37688611273091,5.35265579299994,71.24496661400008,8.329303732999506,1.0850189939159538,59.970230183639906,63.89561799440576,61.997558180123704,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.4210013050366477,0.0,1.0,0.6666666666666666,0.4504323735064538,0.0,1.0000000000000002,0.91125377652797,0.4115428877684006,0.0,0.99999999995,0.3333333333,0.4948716593053935,0.0,1.0,0.0
recursive_cs1000_co50_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,1000,50,311,50,13.961676525939984,62.01234396026891,0.0,631.0,0.5817708333333333,0.6686651013278291,0.37811111107837403,0.4,3228.591770672998,11.73804489855201,6.299380540000129,58.61854967399995,8.697374838499854,1.3042462350865507,58.4184425219678,63.942577828303556,62.082528550658296,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.40949738642122685,0.0,1.0,0.6499999999999999,0.42519049313013474,0.0,1.0000000000000002,0.9133388983670421,0.4018372551368853,0.0,0.99999999995,0.29166666663749996,0.4948716593053935,0.0,1.0,0.0
recursive_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,500,100,626,50,12.179527307799871,62.61751403855532,0.0,631.0,0.5193333333333334,0.6924050416333094,0.33699999997124996,0.32,3218.4296383910005,8.355561237206802,5.7191565680004715,43.87686675100122,9.037345501499658,1.1056009542811043,59.96294160202183,64.62259804980282,62.825169639632136,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.42792999185671937,0.0,1.0,0.6,0.4165481634964622,0.0,1.0000000000000002,0.912760241229515,0.4002166363130989,0.0,0.99999999995,0.19999999998,0.4712120714991612,0.0,1.0,0.0
recursive_cs500_co50_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B-AWQ,nomic-embed-text:latest,recursive,500,50,620,50,14.161270812899893,62.616239494199945,0.0,631.0,0.5427380952380952,0.657752534601774,0.3206666666385166,0.32,3314.9945211800004,12.454816937786475,5.067003203999775,59.23212043500098,8.689140056500037,1.2657233483708439,58.37379635688057,64.47838200212307,62.54065155657812,0.0,0.0,0.0,0.0,0.0,631.0,631.0,631.0,0.38045234508472475,0.0,1.0,0.5,0.43612789869976804,0.0,1.0000000000000002,0.9086869147450791,0.403605631329369,0.0,0.99999999995,0.0,0.4712120714991612,0.0,1.0,0.0
