config_name,llm_model,embedding_model,prompt_template,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_answer_correctness,ragas_context_precision,ragas_context_recall,total_time_seconds,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Qwen3.5-397B-A17B,nomic-embed-text:latest,concise,recursive,1000,100,113,100,0.9823659672999986,0.0,0.26,641.0,0.91,,,,,1001.934417547,0.67,0.67,0.20452164502164505,0.82,0.6582258677657781,0.3857550505050505,0.85,0.6716145661130688,0.5190483405483406,0.574414073497809,0.3523487819706234,0.051327376323730585,0.5184625022206525,0.8716196739673614,0.886551433801651,0.8789954440770859,0.7008993160630482,0.519781389000002,3.6300799940000275,0.7681777089999855,0.0,0,0,0.0,1.1425648976992708,0.0,7.0,0.0,0.0,641.0,641.0,641.0,0.28762349126466136,0.0,1.0,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Qwen3.5-397B-A17B,nomic-embed-text:latest,detailed,recursive,1000,100,113,100,1.0186852313199848,0.0,0.03,2140.0,0.9395164835164834,,,,,1610.4129640990002,0.67,0.67,0.20452164502164505,0.82,0.6582258677657781,0.3857550505050505,0.85,0.6716145661130688,0.5190483405483406,0.574414073497809,0.0,0.0,0.0,0.0,0.0,0.0,0.661081115739052,0.5685429980001118,3.7501646670000355,0.790840187499839,0.0,0,0,0.0,0.3,0.0,3.0,0.0,0.0,2140.0,2140.0,2140.0,0.15361978299677245,0.0,1.0,1.0
