config_name,llm_model,embedding_model,prompt_template,chunking_strategy,chunk_size,chunk_overlap,num_chunks,num_questions,avg_ttft_seconds,avg_tokens_per_second,avg_gpu_utilization_pct,avg_gpu_memory_used_mb,ragas_faithfulness,ragas_answer_relevancy,ragas_answer_correctness,ragas_context_precision,ragas_context_recall,ragas_semantic_similarity,total_time_seconds,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1,ttft_std,ttft_min,ttft_max,ttft_median,tps_std,tps_min,tps_max,tps_median,gpu_util_std,gpu_util_min,gpu_util_max,gpu_util_median,gpu_mem_std,gpu_mem_min,gpu_mem_max,gpu_mem_median,faithfulness_std,faithfulness_min,faithfulness_max,faithfulness_median,context_recall_std,context_recall_min,context_recall_max,context_recall_median,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,semantic_similarity_median
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Qwen3.5-397B-A17B,nomic-embed-text:latest,concise,recursive,500,100,212,100,1.1807108042999972,0.0,0.31,641.0,0.825,,,,0.93,0.7200625069375028,1125.493996498,0.74,0.74,0.19672871572871573,0.86,0.7176265179317001,0.40928030303030305,0.9,0.7276650315736294,0.5534639249639249,0.6002725257077969,0.47378267106631694,0.297775860006885,0.4421363975425543,0.08357046818204243,0.5357617575219821,0.8382580679655075,0.8487719362974167,0.843456469284657,0.9721880764105038,0.6121064620001562,4.717937598999924,0.8388404554998488,0.0,0,0,0.0,2.3385007715598167,0.0,23.0,0.0,0.0,641.0,641.0,641.0,0.3649754384983607,0.0,1.0,1.0,0.2564323999762428,0.0,1.0,1.0,0.18995059537573578,0.33426473993680095,1.0000000000000004,0.71207282675357
recursive_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_detailed,Qwen3.5-397B-A17B,nomic-embed-text:latest,detailed,recursive,500,100,212,100,1.037678579060016,0.0,0.57,641.0,0.9545714285714285,,,,0.93,0.6559639798399362,1249.767413337,0.74,0.74,0.19672871572871573,0.86,0.7176265179317001,0.40928030303030305,0.9,0.7276650315736294,0.5534639249639249,0.6002725257077969,0.47378267106631694,0.16604701845616027,0.23516457368568422,0.0391143876428737,0.42098524959345496,0.8558286374807358,0.8745553636550903,0.8650599338928201,0.6832118864490666,0.5814063820002957,4.227691624999807,0.809051221000118,0.0,0,0,0.0,1.57155909204776,0.0,8.0,0.0,0.0,641.0,641.0,641.0,0.18210113579014753,0.0,1.0,1.0,0.2564323999762428,0.0,1.0,1.0,0.09882323173006265,0.3923598570874867,0.8885246951453842,0.6666586189999579
